angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Name,HIP,B-V,SHK,Act,Jitter,logRHK,dMag,Prot,Age,Obs,S,SimbadName,_RA,_DE
0.009384,41.0646225745000,25.5233658414000,0.002,0.002,0,114207651462714880,41.06874874637,0.0532,25.52180150743,0.0460,130.1870,0.0605,864.812,0.111,-363.343,0.116,0,3.09858e+06,2.25023e+03,9.460459,6.36504e+05,1.55752e+03,10.841886,3.71241e+06,9.34350e+03,8.337780,2.504106,,,3775.51,0.1053,0.0532,,,41.0646211,25.5233636,GJ 109,12781,1.55,0.814,Act,2.736,,-0.2,,,K,S,GJ 109,41.06462,25.52336
0.011270,1.6532670598400,29.0215028861000,0.001,0.001,90,2860924621205256704,1.65513854048,0.0368,29.02073835347,0.0237,72.5764,0.0498,380.092,0.060,-177.573,0.037,0,8.53046e+07,5.09635e+04,5.860935,4.30828e+07,9.90128e+04,6.265629,5.79683e+07,1.38214e+05,5.353943,0.911686,-6.59,0.13,5551.50,0.0250,0.0115,0.87,0.651,1.65327,29.0215011,HD 166,544,0.75,0.434,Act,3.586,-4.384,0.0,7,0.26,K,S,HD 166,1.65327,29.0215
0.009406,82.8641493647000,-3.6772282088400,0.002,0.002,90,3209938366665770752,82.86743509254,0.0471,-3.68623703008,0.0385,175.4287,0.0672,761.548,0.119,-2092.322,0.097,0,2.72860e+07,1.97552e+04,7.098516,7.20762e+06,1.17755e+04,8.206908,2.96690e+07,8.30903e+04,6.081163,2.125745,8.26,0.14,3885.07,0.9693,0.4640,0.55,0.063,82.8641497,-3.6772308,GJ 205,25878,1.52,1.325,Act,3.729,,1.18,,,L,S,GJ 205,82.86415,-3.67723
0.006663,92.5826931549000,82.1067568490000,0.001,0.001,0,1143321672882274560,92.58427111235,0.0250,82.10100187630,0.0275,105.6941,0.0304,50.330,0.046,-1336.640,0.056,0,3.09209e+06,1.74979e+03,9.462734,6.96557e+05,1.56522e+03,10.743996,3.58987e+06,6.86131e+03,8.374225,2.369771,,,3720.20,0.2315,0.1310,,,92.5827031,82.1067556,GJ 226,29277,1.51,0.75,Act,2.289,,-0.4,,,K,S,GJ 226,92.5827,82.10676
0.029251,99.2949955319000,17.5648151182000,0.001,0.001,90,3359074685047632640,99.29154286526,0.0440,17.56626957186,0.0426,99.9164,0.0503,-764.522,0.088,337.802,0.075,0,5.30800e+06,2.71032e+03,8.876039,1.54998e+06,3.79534e+03,9.875572,5.47249e+06,1.36044e+04,7.916457,1.959115,,,3984.03,0.2280,0.1207,,,99.2949878,17.5648117,GJ 239,31635,1.46,0.897,Act,2.459,,-0.1,,,K,S,GJ 239,99.29499,17.56481
0.011937,1.8440105489900,26.4506010878000,0.001,0.001,0,2853632350851537536,1.84463620835,0.0290,26.45009543160,0.0370,7.6866,0.0371,130.102,0.053,-117.443,0.061,0,2.88044e+07,4.30947e+03,7.039719,1.28025e+07,1.26032e+04,7.583152,2.23007e+07,4.36136e+04,6.391122,1.192030,16.70,0.13,4850.00,,,6.65,22.035,1.8440139,26.4506025,HD 249,607,1.011,0.113,Act,4.179,,4.45,,,L,S,HD 249,1.84401,26.4506
0.205927,103.0751725160000,-5.1900108556800,0.001,0.001,90,3101920046552857728,103.07268133488,0.0451,-5.19006795945,0.0471,114.4148,0.0516,-576.233,0.090,-13.262,0.081,0,4.36347e+06,5.27630e+03,9.088786,1.00353e+06,2.84475e+03,10.347557,4.99589e+06,2.06770e+04,8.015388,2.332170,-8.27,0.36,3815.00,0.2460,0.1345,,,103.0752083,-5.1900556,GJ 250B,,1.42,1.334,Act,3.48,,-1.3,,,K,S,GJ 250B,103.07521,-5.19006
0.025794,110.8120630210000,46.0874126170000,0.001,0.001,90,974536192658255104,110.81131432491,0.0321,46.08638801989,0.0240,58.9849,0.0420,-120.604,0.068,-237.972,0.045,1,2.52059e+06,1.31710e+03,9.684610,6.75514e+05,6.93050e+02,10.777302,2.70926e+06,2.42108e+03,8.679793,2.097508,-31.71,0.24,3856.75,0.1777,0.1437,0.51,0.053,110.8120733,46.0874119,GJ 272,35821,1.59,1.702,Act,10.53,,7.51,,,K,S,GJ 272,110.81207,46.08741
0.002624,112.2573695900000,31.9938437346000,0.001,0.001,90,892215482207937152,112.25817308400,0.0359,31.99460001185,0.0362,55.0668,0.0423,158.272,0.065,175.652,0.062,0,1.99430e+07,8.82088e+03,7.438890,9.09901e+06,2.23705e+04,7.953903,1.50354e+07,3.47686e+04,6.819135,1.134769,-4.21,0.18,4943.00,0.0160,0.0080,0.73,0.290,112.2573689,31.9938433,GJ 273.1,,0.96,0.517,Act,3.793,,,,,L,S,GJ 273.1,112.25737,31.99384
0.006641,1.8855908674200,-23.8187216736000,0.001,0.001,90,2336728947968831104,1.88710065290,0.0378,-23.81832893153,0.0296,30.5639,0.0579,320.793,0.076,91.219,0.060,1,7.69357e+06,1.70016e+03,8.473046,3.76023e+06,3.51557e+03,8.913352,5.51779e+06,7.53560e+03,7.907508,1.005844,-43.50,0.43,5220.00,0.0415,0.0230,0.72,0.345,1.8855928,-23.8187222,HD 283,616,0.8,0.194,Act,2.41,-4.898,-0.4,37,4.75,K,S,HD 283,1.88559,-23.81872
