angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Name,HIP,B-V,SHK,Act,Jitter,logRHK,dMag,Prot,Age,Obs,S,SimbadName,_RA,_DE
0.032301,113.6143027290000,62.9414893873000,0.001,0.001,90,1088813933689615872,113.60961349998,0.0250,62.94101522688,0.0252,84.6499,0.0356,-495.437,0.047,-110.146,0.044,0,2.60221e+06,1.46983e+03,9.650011,7.11819e+05,1.10527e+03,10.720465,2.77042e+06,2.44140e+03,8.655557,2.064908,-41.92,0.17,3845.00,0.0862,0.0460,,,113.614305,62.9414983,HIP 36834,36834,1.7,0.716,Act,6.717,,3.25,,,K,S,HIP 36834,113.6143,62.9415
0.012036,84.2677389707000,37.0451413293000,0.002,0.001,90,189289555313950336,84.26780270912,0.0634,37.04503009777,0.0805,3.9748,0.1174,11.816,0.115,-25.834,0.095,0,1.22538e+07,4.35121e+03,7.967691,6.25212e+06,1.56757e+04,8.361321,8.55547e+06,2.15487e+04,7.431310,0.930010,15.16,0.94,5429.33,,,6.35,31.560,84.2677422,37.0451392,HD 36974,26385,0.702,0.278,Act,4.737,-4.598,2.86,16,1.13,K,S,HD 36974,84.26774,37.04514
0.008014,86.5496073652000,78.2562559938000,0.001,0.001,0,552477105166797952,86.54863907005,0.0200,78.25655982738,0.0269,27.8424,0.0282,-45.774,0.037,70.567,0.054,1,1.17562e+07,7.54305e+03,8.012701,5.99206e+06,1.02469e+04,8.407448,8.02561e+06,1.27954e+04,7.500724,0.906724,-11.76,0.17,5525.50,0.0240,0.0105,0.85,0.611,86.549615,78.2562544,HD 37006,27225,0.73,0.471,Act,3.763,-4.323,-0.1,4,0.16,K,S,HD 37006,86.54961,78.25625
0.014801,84.5494195159000,51.4457452722000,0.001,0.001,90,215395053733297024,84.54562105736,0.0547,51.44620811910,0.0386,48.7548,0.0639,-549.850,0.075,107.486,0.064,0,1.93293e+07,4.75837e+03,7.472827,9.19960e+06,1.64371e+04,7.941966,1.41243e+07,3.80516e+04,6.887002,1.054964,-45.90,0.14,5033.00,0.0910,0.0457,0.78,0.352,84.5494239,51.4457422,HD 37008,26505,0.83,0.179,Act,2.33,-4.968,-0.3,43,6.0,K,S,HD 37008,84.54942,51.44574
0.008042,84.2603611586000,20.7307873735000,0.003,0.003,90,3402798414192387328,84.25999468007,0.0927,20.72897836800,0.0933,31.5536,0.0751,-79.607,0.184,-420.161,0.166,0,1.93373e+07,6.25156e+03,7.472376,1.00684e+07,1.49328e+04,7.843987,1.29635e+07,2.90884e+04,6.980112,0.863874,-22.98,0.15,5676.75,0.0343,0.0160,0.91,0.772,84.2603589,20.7307881,HD 37124,26381,0.67,0.179,Act,3.1,-4.897,-0.1,25,4.72,K,S,HD 37124,84.26036,20.73079
3.104800,84.2594368286000,20.7307768380000,0.007,0.007,90,3402798414192386944,84.25944288564,0.1367,20.73076627798,0.1103,1.0582,0.2142,1.316,0.442,-2.453,0.441,0,3.52814e+03,1.82901e+01,16.819502,3.27684e+03,2.66773e+02,16.562750,4.88418e+03,2.86486e+02,15.539942,1.022808,,,5095.63,,,,,84.2603589,20.7307881,HD 37124,26381,0.67,0.179,Act,3.1,-4.897,-0.1,25,4.72,K,S,HD 37124,84.26036,20.73079
0.008147,83.9211815726000,-27.6208265075000,0.001,0.001,0,2908352467587345152,83.92129670828,0.0174,-27.62176261693,0.0248,12.4733,0.0267,23.694,0.036,-217.418,0.049,0,1.16228e+07,2.93102e+03,8.025085,5.93717e+06,5.88471e+03,8.417439,7.97636e+06,1.07778e+04,7.507409,0.910031,12.82,0.14,5466.03,,,1.94,3.027,83.9211806,-27.6208286,HD 37213,26273,0.707,0.144,Act,4.213,-5.117,1.54,,,K,S,HD 37213,83.92118,-27.62083
0.014171,84.9681137198000,52.8974870357000,0.001,0.001,0,263696736979837312,84.96803390860,0.0376,52.89687328282,0.0385,35.6141,0.0464,-11.182,0.064,-142.548,0.067,0,1.68507e+07,5.45148e+03,7.621820,8.46199e+06,2.10375e+04,8.032707,1.16863e+07,2.31875e+04,7.092727,0.939980,11.30,0.18,5458.60,0.1090,0.0563,0.82,0.539,84.9681072,52.8974872,HD 37216,26653,0.75,0.391,Act,3.375,-4.44,-0.2,10,0.4,K,S,HD 37216,84.96811,52.89749
0.061541,114.6706681830000,-21.2245772066000,0.001,0.001,0,5715352842388433664,114.67277746203,0.0234,-21.22662496868,0.0329,95.8401,0.0413,456.667,0.047,-475.606,0.063,0,1.08110e+06,4.40748e+02,10.603703,2.13445e+05,2.48027e+02,12.028175,1.31817e+06,1.32379e+03,9.461992,2.566183,,,3660.98,0.0385,0.0243,,,114.6706517,-21.2245847,HIP 37217,37217,2.0,0.713,Act,0.0,,-8.8,,,K,S,HIP 37217,114.67065,-21.22458
0.018316,84.7862311063000,41.3585632473000,0.001,0.001,90,192832697175220224,84.78605242673,0.0389,41.35805140625,0.0366,12.4565,0.0464,-31.149,0.077,-118.879,0.058,0,6.45830e+07,2.77069e+04,6.163070,2.89713e+07,7.36510e+04,6.696468,4.87222e+07,1.06606e+05,5.542603,1.153865,43.51,0.17,4923.17,,,5.91,18.470,84.7862319,41.3585683,HD 37250,26592,1.0,0.138,Act,4.272,,4.57,,,K,S,HD 37250,84.78623,41.35857
0.010594,85.3347322016000,53.4810585083000,0.001,0.001,90,263916708025623680,85.33475234190,0.0437,53.47880410723,0.0414,81.4300,0.0487,2.784,0.075,-523.602,0.072,0,7.66929e+07,5.18661e+04,5.976478,3.70521e+07,1.00487e+05,6.429356,5.46043e+07,1.14988e+05,5.418853,1.010502,1.07,0.18,5303.00,0.0665,0.0350,0.82,0.478,85.3347283,53.4810567,HD 37394,26779,0.84,0.369,Act,3.256,-4.557,0.08,19,0.88,K,S,HD 37394,85.33473,53.48106
0.008061,84.5226545740000,-14.7561524130000,0.001,0.001,0,2972356237733305472,84.52256522470,0.0301,-14.75612676440,0.0371,2.8958,0.0434,-20.068,0.059,5.957,0.071,0,1.13701e+07,2.72911e+03,8.048956,5.08562e+06,3.66612e+03,8.585529,8.80113e+06,1.00508e+04,7.400573,1.184956,39.03,0.16,4880.48,0.0947,0.0342,10.91,60.803,84.5226567,-14.7561533,HD 37445,26493,1.0,0.127,Act,4.227,,4.5,,,K,S,HD 37445,84.52266,-14.75615
0.008277,84.4151127564000,-28.6262933120000,0.001,0.001,0,2907308172059100544,84.41523087392,0.0159,-28.62630665795,0.0206,16.9165,0.0238,24.080,0.034,-3.100,0.041,0,2.59825e+07,5.22749e+03,7.151664,1.53774e+07,2.40776e+04,7.384182,1.49304e+07,4.46088e+04,6.826745,0.557437,26.05,0.45,6695.00,0.0880,0.0417,1.39,3.512,84.4151125,-28.6262956,HD 37484,26453,0.37,0.289,Act,0.0,,-0.4,,,K,S,HD 37484,84.41511,-28.6263
0.016241,85.0734344131000,16.3928160580000,0.002,0.002,90,3396559029302501632,85.07368149475,0.0864,16.39210825829,0.0748,17.3928,0.0794,55.054,0.129,-164.392,0.103,0,2.40778e+07,7.19143e+03,7.234323,1.36646e+07,1.77414e+04,7.512395,1.46437e+07,4.58666e+04,6.847789,0.664606,-58.38,0.27,6229.00,0.2847,0.1612,1.51,3.089,85.0734367,16.39282,HD 37588,26689,0.44,0.143,Act,2.3,,-0.2,,,L,S,HD 37588,85.07344,16.39282
0.003534,85.7569743184000,56.5815245543000,0.002,0.002,0,268432917676280704,85.75709643915,0.0667,56.58164730122,0.0716,16.9727,0.0716,15.621,0.118,28.509,0.125,0,9.17108e+07,7.74122e+04,5.782314,4.19523e+07,1.16565e+05,6.294498,6.83801e+07,1.96849e+05,5.174595,1.119903,-31.34,0.16,4975.00,,,5.03,13.959,85.7569739,56.5815236,HD 37601,26942,0.951,0.134,Act,4.242,,4.28,,,L,S,HD 37601,85.75697,56.58152
0.010398,85.0072003869000,6.0605761923400,0.001,0.001,90,3332911492327546368,85.00742755133,0.0461,6.05951162818,0.0426,21.3450,0.0517,52.466,0.089,-247.255,0.076,0,7.77283e+06,4.11679e+03,8.461918,3.82015e+06,8.09079e+03,8.896188,5.46157e+06,1.16430e+04,7.918626,0.977562,-21.81,0.25,5304.00,0.2210,0.1070,0.99,0.705,85.0072028,6.0605778,HD 37605,26664,0.827,0.165,Act,2.26,-5.025,0.3,,7.07,K,S,HD 37605,85.0072,6.06058
0.047442,116.1673859520000,3.5524660639800,0.002,0.001,90,3136952686035250688,116.16588429092,0.0501,3.55054631308,0.0335,167.0186,0.0592,-348.103,0.109,-445.878,0.064,0,2.52979e+06,2.22170e+03,9.680656,3.67000e+05,1.18670e+03,11.439723,3.39025e+06,5.83026e+03,8.436342,3.003381,,,3542.23,,,,,116.1673917,3.5524542,HIP 37766,37766,1.61,32.75,Act,80.14,,-0.2,,,K,S,HIP 37766,116.16739,3.55245
0.004527,116.2549173180000,2.1373853162300,0.001,0.001,90,3088637946087230336,116.25519398491,0.0411,2.13650887712,0.0256,37.5791,0.0543,64.213,0.087,-203.560,0.046,0,2.76683e+06,9.83989e+02,9.583410,9.35340e+05,7.37998e+02,10.423964,2.62158e+06,2.00151e+03,8.715512,1.708451,-34.79,0.42,4052.00,0.5110,0.2480,0.72,0.125,116.2549161,2.137385,HIP 37798,37798,1.349,1.377,Act,3.708,,0.0,,,K,S,HIP 37798,116.25492,2.13738
0.019457,85.8075022330000,41.6962996096000,0.001,0.001,90,192668251467016832,85.80787782837,0.0451,41.69586202541,0.0389,12.9964,0.0519,65.137,0.089,-101.632,0.072,0,4.19473e+07,1.37812e+04,6.631606,2.17699e+07,3.46050e+04,7.006746,2.79693e+07,3.66224e+04,6.145217,0.861529,9.65,0.19,5662.50,,,3.27,9.885,85.807495,41.6962994,HD 37799,26957,0.71,0.141,Act,4.205,-5.134,3.09,,,L,S,HD 37799,85.80749,41.6963
0.001276,87.6112077732000,75.7146431545000,0.001,0.001,0,503148276197901952,87.61087150184,0.0309,75.71456480127,0.0346,15.5821,0.0426,-19.272,0.051,-18.198,0.058,0,1.89528e+07,3.92534e+03,7.494183,1.07063e+07,9.17305e+03,7.777293,1.16039e+07,1.53781e+04,7.100409,0.676884,-28.57,0.17,6187.67,0.2847,0.1483,1.52,3.032,87.6112078,75.7146428,HD 37879,27576,0.48,0.145,Act,2.472,,0.0,,,K,S,HD 37879,87.61121,75.71464
0.012522,85.2165246373000,-31.3511069959000,0.001,0.001,90,2902205991429301888,85.21622391021,0.0230,-31.35267950193,0.0258,28.5836,0.0303,-59.648,0.051,-365.227,0.048,0,1.60195e+07,3.51148e+03,7.676742,8.48255e+06,1.64429e+04,8.030071,1.05201e+07,2.57170e+04,7.206872,0.823199,3.22,0.13,5741.50,0.0260,0.0122,0.89,0.776,85.2165286,-31.3511078,HD 37962,26737,0.65,0.193,Act,3.342,-4.824,-0.2,21,3.56,K,S,HD 37962,85.21653,-31.35111
0.030039,86.1028902723000,40.4046806606000,0.001,0.001,90,191786202624203776,86.10302680009,0.0472,40.40431417201,0.0434,15.9604,0.0505,24.146,0.091,-85.120,0.073,0,1.03796e+07,4.77900e+03,8.147914,5.69276e+06,8.71300e+03,8.463081,6.54674e+06,9.02887e+03,7.721857,0.741225,20.73,0.19,6050.33,0.0650,0.0317,1.15,1.589,86.1028794,40.4046817,HD 37977,27067,0.609,0.19,Act,3.299,-4.818,-0.1,16,3.46,K,S,HD 37977,86.10288,40.40468
0.005820,85.4736936949000,-15.6305418353000,0.001,0.001,0,2972016080621222528,85.47478361117,0.0248,-15.63104913177,0.0293,33.2349,0.0307,243.780,0.051,-117.823,0.058,0,2.56927e+07,3.71221e+03,7.163841,1.29559e+07,1.12141e+04,7.570219,1.76403e+07,2.11757e+04,6.645656,0.924563,59.16,0.12,5505.67,0.3180,0.1570,1.06,0.939,85.4736922,-15.6305411,HD 37986,26834,0.79,0.15,Act,2.196,-5.085,0.46,,8.18,K,S,HD 37986,85.47369,-15.63054
0.025566,117.1648470060000,53.6485666968000,0.003,0.002,90,984509244157298304,117.16390415232,0.0823,53.64628331965,0.0782,38.2332,0.1163,-129.801,0.167,-530.335,0.128,0,7.42860e+06,2.53243e+03,8.511098,3.10561e+06,3.78717e+03,9.121022,6.05325e+06,1.36557e+04,7.806948,1.314074,-5.64,2.36,4615.31,0.2527,0.1398,0.78,0.247,117.1648364,53.64857,HIP 38117,38117,1.068,0.326,Act,1.57,,0.0,,,K,S,HIP 38117,117.16484,53.64857
0.002796,86.5078569209000,37.2846492568000,0.001,0.001,90,3456337827237371264,86.51048944153,0.0485,37.28245318566,0.0424,47.8551,0.0513,486.482,0.090,-510.073,0.069,0,2.70803e+07,6.84375e+03,7.106732,1.30561e+07,3.26953e+04,7.561853,1.94346e+07,4.11038e+04,6.540484,1.021369,-28.94,0.17,5253.00,0.0875,0.0620,0.85,0.492,86.5078564,37.2846486,HD 38230,27207,0.829,0.158,Act,2.226,-5.056,0.03,,7.65,K,S,HD 38230,86.50786,37.28465
0.092617,86.3441116881000,12.7893098670000,0.001,0.001,90,3346461804909271680,86.34411168806,0.6218,12.78930986705,0.5375,,,,,,,1,2.36381e+07,2.44263e+04,7.254336,1.16294e+07,1.25175e+05,7.687496,1.69525e+07,8.20408e+04,6.688835,0.998661,43.17,0.18,5245.22,,,,,86.3441303,12.7893281,HD 38308,27153,0.77,0.195,Act,4.432,-4.877,4.19,34,4.4,K,S,HD 38308,86.34413,12.78933
0.029776,117.8046005270000,32.9798985883000,0.001,0.001,90,881785549266089216,117.80447590085,0.0407,32.97996730753,0.0258,13.3000,0.0546,-24.281,0.086,15.961,0.046,0,4.71072e+06,1.82895e+03,9.005647,2.55343e+06,3.08213e+03,9.333578,3.05745e+06,3.55816e+03,8.548523,0.785055,,,5834.00,0.0900,0.0443,1.00,1.048,117.8045986,32.9799067,HIP 38340,38340,0.675,0.252,Act,4.37,-4.643,0.26,16,1.46,K,S,HIP 38340,117.8046,32.97991
0.177283,86.1105703820000,-22.4218373218000,0.001,0.000,0,2964001014514075520,86.10914951157,0.0150,-22.42335556279,0.0257,112.4005,0.0302,-305.065,0.031,-352.628,0.049,0,8.57329e+07,4.54301e+04,5.855497,3.84565e+07,7.51826e+04,6.388965,6.47968e+07,8.22926e+04,5.233036,1.155929,-9.73,0.14,4944.00,0.1153,0.0457,0.75,0.300,86.1105958,-22.4218806,HD 38392,14632,0.94,0.462,Act,3.576,,0.3,,,K,S,HD 38392,86.1106,-22.42188
0.070798,86.1157771612000,-22.4483733183000,0.013,0.012,0,2964000159820118400,86.11443477236,0.3037,-22.44997192507,0.3536,112.6109,0.3162,-288.155,0.798,-371.288,0.829,1,8.47129e+08,3.10073e+06,3.368491,4.12610e+08,3.97131e+06,3.812539,4.75152e+08,1.11029e+06,3.069838,0.742701,,,6282.50,,,1.36,2.590,86.1157953,-22.4483836,HD 38393,27072,0.481,0.152,Act,2.594,,-0.1,,,K,S,HD 38393,86.1158,-22.44838
0.011984,86.9578746481000,46.9834517411000,0.001,0.001,90,210003667186218112,86.95714041842,0.0459,46.98305404222,0.0429,12.4501,0.0534,-116.337,0.083,-92.369,0.074,0,1.13914e+07,4.38803e+03,8.046918,6.17117e+06,1.61888e+04,8.375469,7.26153e+06,1.79095e+04,7.609350,0.766120,18.76,0.25,6017.25,0.7750,0.3970,1.56,2.869,86.9578778,46.9834492,HD 38400,27372,0.57,0.146,Act,2.556,-5.066,0.39,,7.84,K,S,HD 38400,86.95788,46.98345
0.014352,86.1639972818000,-29.9166714960000,0.001,0.001,0,2903934217549703936,86.16390721259,0.0212,-29.91744654331,0.0245,13.9251,0.0293,-18.132,0.044,-180.012,0.048,1,1.08246e+07,2.95602e+03,8.102336,5.71028e+06,9.25261e+03,8.459744,7.11463e+06,8.76424e+03,7.631538,0.828206,-17.58,0.15,5733.00,0.5250,0.2680,1.51,2.211,86.1639928,-29.9166706,HD 38467,27090,0.65,0.15,Act,2.603,-5.056,0.83,,7.66,K,S,HD 38467,86.16399,-29.91667
0.174261,86.6855676032000,11.0503862130000,0.019,0.017,90,3337001130124886144,86.68586926909,0.6261,11.05016506758,0.6013,9.9015,0.6608,68.765,1.214,-51.363,1.115,0,2.13135e+07,5.76187e+03,7.366731,9.94949e+06,1.80512e+04,7.856886,1.59148e+07,4.31602e+04,6.757420,1.099466,76.72,0.18,5031.00,,,4.04,9.418,86.6856064,11.0504161,HD 38505,27263,0.717,0.142,Act,4.211,-5.114,3.14,,,K,S,HD 38505,86.68561,11.05042
0.017617,86.6454707904000,1.1681979280000,0.002,0.002,90,3219847066672970368,86.64513630752,0.0502,1.16758659365,0.0469,23.5819,0.0587,-77.670,0.100,-141.987,0.100,0,9.59558e+07,7.19578e+04,5.733188,4.82749e+07,1.16377e+05,6.142084,6.49721e+07,1.75928e+05,5.230102,0.911982,30.27,0.16,5586.00,,,2.81,6.911,86.6454692,1.1681933,HD 38529,27253,0.773,0.164,Act,4.313,-5.007,2.72,,6.73,K,S,HD 38529,86.64547,1.16819
0.004504,86.9965653809000,-8.3276998469500,0.001,0.001,0,3012677738601895168,86.99631412071,0.0281,-8.32802556090,0.0343,10.9080,0.0412,-57.742,0.066,-75.650,0.073,1,1.15281e+07,3.82707e+03,8.033973,5.55783e+06,4.59354e+03,8.489126,8.30595e+06,6.04449e+03,7.463447,1.025680,-25.10,0.15,5251.00,,,2.43,4.036,86.9965642,-8.3276994,HD 38801,27384,0.873,0.169,Act,4.36,-5.026,2.76,,7.09,K,S,HD 38801,86.99656,-8.3277
0.005307,87.1455839388000,-4.0946443137200,0.002,0.002,90,3023711269067191296,87.14584956819,0.0556,-4.09563224285,0.0540,65.5534,0.0621,61.537,0.113,-229.454,0.111,0,9.08710e+07,7.23818e+04,5.792302,4.76903e+07,1.92787e+05,6.155313,5.96365e+07,1.09265e+05,5.323141,0.832172,31.61,0.19,5717.00,0.0595,0.0315,0.93,0.838,87.1455831,-4.0946431,HD 38858,27435,0.64,0.166,Act,2.874,-4.952,-0.2,24,5.72,K,S,HD 38858,87.14558,-4.09464
0.008790,87.0835786537000,-24.4638482854000,0.001,0.001,0,2915523482424724224,87.08343468477,0.0206,-24.46400080191,0.0301,22.4083,0.0371,-30.436,0.045,-35.423,0.057,1,1.62425e+07,5.46640e+03,7.661736,8.91481e+06,1.19647e+04,7.976108,1.03176e+07,1.30216e+04,7.227968,0.748139,3.42,0.15,6051.00,0.0680,0.0415,1.02,1.261,87.0835778,-24.4638506,HD 38949,27417,0.7,0.313,Act,5.43,-4.525,0.24,12,0.71,K,S,HD 38949,87.08358,-24.46385
0.137917,119.6066200160000,-15.0204581762000,0.002,0.002,0,5725307305268686336,119.60667698983,0.0694,-15.02148161710,0.0691,31.1408,0.1267,12.780,0.145,-237.702,0.151,0,5.21215e+06,1.17238e+03,8.895824,2.11768e+06,1.44086e+03,9.536737,4.36378e+06,4.50098e+03,8.162263,1.374475,52.07,0.21,4649.48,0.6440,0.2970,0.78,0.258,119.6066167,-15.02042,HIP 38969,38969,1.123,0.462,Act,1.57,,0.19,,,K,S,HIP 38969,119.60662,-15.02042
3.519938,119.6063426790000,-15.0194787395000,0.021,0.021,0,5725307305268809472,119.60627884293,0.4724,-15.01945279263,0.4190,3.4425,0.6688,-14.320,1.327,6.026,1.375,0,3.77504e+02,1.81138e+00,19.246061,2.42249e+02,2.33608e+01,19.390734,7.77476e+02,5.52284e+01,17.535202,1.855532,,,,,,,,119.6066167,-15.02042,HIP 38969,38969,1.123,0.462,Act,1.57,,0.19,,,K,S,HIP 38969,119.60662,-15.02042
0.007644,87.9987347170000,37.8324637393000,0.001,0.001,90,3457728056610682880,87.99892009088,0.0419,37.83181920080,0.0349,15.4037,0.0437,34.005,0.079,-149.699,0.061,0,1.56333e+07,5.51769e+03,7.703237,7.83201e+06,1.78243e+04,8.116705,1.08667e+07,2.41659e+04,7.171676,0.945029,10.68,0.18,5442.00,,,1.84,2.677,87.9987369,37.8324625,HD 39094,27706,0.795,0.136,Act,4.208,-5.168,1.85,,,K,S,HD 39094,87.99874,37.83246
0.082639,87.6599615715000,1.6996935397400,0.002,0.002,90,3219978149075224832,87.65994891899,0.0642,1.69972600096,0.0562,3.6117,0.0559,-2.937,0.130,7.539,0.106,0,1.60837e+07,5.89535e+03,7.672400,7.07014e+06,2.22692e+04,8.227819,1.25085e+07,2.47775e+04,7.018904,1.208914,9.87,0.12,4867.86,0.0182,0.0092,10.47,55.472,87.6599492,1.6996742,HD 39142,27602,1.047,0.12,Act,4.215,,4.53,,,K,S,HD 39142,87.65995,1.69967
0.012589,87.7635851682000,11.4988898841000,0.001,0.001,90,3337078126000740608,87.76355472671,0.0329,11.49893674343,0.0300,16.7969,0.0327,-6.928,0.067,10.883,0.059,0,3.86673e+07,1.08169e+04,6.720007,1.87259e+07,3.52179e+04,7.170280,2.76902e+07,4.07399e+04,6.156103,1.014177,-4.28,0.16,5246.75,,,2.89,5.713,87.7635828,11.4988925,HD 39156,27641,0.828,0.143,Act,4.245,-5.128,2.68,,,L,S,HD 39156,87.76358,11.49889
1.149941,87.7633122782000,11.4987142856000,0.002,0.002,90,3337078130299242880,87.76331227815,1.9660,11.49871428559,1.6094,,,,,,,0,6.19462e+05,1.59539e+04,11.208328,,,,,,,,-161.40,4.41,,,,,,87.7635828,11.4988925,HD 39156,27641,0.828,0.143,Act,4.245,-5.128,2.68,,,L,S,HD 39156,87.76358,11.49889
0.182772,88.2197016764000,34.4451230511000,0.002,0.001,90,3454470100579668992,88.21965555679,0.0582,34.44481488509,0.0580,11.1822,0.0844,-8.834,0.110,-71.574,0.089,0,1.41397e+07,7.21547e+03,7.812269,7.93005e+06,1.15126e+04,8.103199,8.88072e+06,3.83139e+04,7.390799,0.712400,-37.59,5.29,6054.00,1.3200,0.6705,1.91,4.409,88.2197469,34.4451575,HD 39251,27791,0.588,0.26,Act,4.521,-4.572,1.36,8,0.96,K,S,HD 39251,88.21975,34.44516
2.494903,88.2201123422000,34.4445334288000,0.008,0.007,90,3454470100575733888,88.22005736612,0.3526,34.44421441631,0.3212,11.2521,0.0877,-10.530,0.499,-74.093,0.423,0,2.91408e+06,3.96509e+03,9.527111,1.68147e+06,3.12411e+03,9.787164,2.13648e+06,4.36167e+04,8.937674,0.849490,,,5606.64,0.1630,0.0810,1.02,0.920,88.2197469,34.4451575,HD 39251,27791,0.588,0.26,Act,4.521,-4.572,1.36,8,0.96,K,S,HD 39251,88.21975,34.44516
0.003795,87.6885618944000,-29.1108790118000,0.001,0.001,0,2904417418550911360,87.68863431207,0.0229,-29.11016993321,0.0272,19.8920,0.0305,14.695,0.047,164.689,0.056,0,9.97729e+06,2.41773e+03,8.190834,5.23043e+06,1.47781e+04,8.555045,6.84114e+06,1.90303e+04,7.674099,0.880947,48.22,0.14,5660.31,0.1800,0.0903,1.04,1.004,87.6885625,-29.1108781,HD 39352,27609,0.71,0.169,Act,2.281,-4.963,0.33,33,5.9,K,S,HD 39352,87.68856,-29.11088
2.138416,87.6882018445000,-29.1103745580000,0.002,0.002,0,2904417418550911232,87.68828617440,0.0500,-29.10965262021,0.0555,19.8860,0.0512,17.112,0.123,167.676,0.135,0,8.65496e+05,2.42658e+03,10.845203,2.88500e+05,1.38968e+04,11.701023,1.03649e+06,4.40702e+05,9.723007,1.978016,,,3990.00,,,0.80,0.145,87.6885625,-29.1108781,HD 39352,27609,0.71,0.169,Act,2.281,-4.963,0.33,33,5.9,K,S,HD 39352,87.68856,-29.11088
0.011533,88.2421506905000,3.0480131356400,0.001,0.001,90,3316294714832314240,88.24231006192,0.0522,3.04761774344,0.0551,14.2865,0.0601,36.963,0.089,-91.833,0.082,0,9.91506e+06,2.68383e+03,8.197628,5.36712e+06,1.00513e+04,8.527034,6.38494e+06,1.75626e+04,7.749028,0.778006,49.02,0.17,5895.00,0.2847,0.1470,1.32,1.906,88.2421475,3.0480128,HD 39480,27799,0.6,0.143,Act,2.488,-5.101,0.67,,,K,S,HD 39480,88.24215,3.04801
0.349388,88.5956969867000,20.2762479173000,0.008,0.006,90,3399063235753901952,88.59485055365,0.2614,20.27586476972,0.2470,113.1240,0.3178,-184.409,0.491,-88.990,0.414,0,4.01603e+08,1.67104e+06,4.178873,2.07055e+08,6.92803e+05,4.561172,2.44309e+08,1.45180e+06,3.792071,0.769100,-15.48,0.18,6028.33,0.0600,0.0323,1.01,1.225,88.5957625,20.2761728,HD 39587,27913,0.59,0.379,Act,6.583,-4.339,-0.2,3,0.18,L,S,HD 39587,88.59576,20.27617
0.012706,88.6190683709000,2.1422340620700,0.001,0.001,0,3315907411861516160,88.61940778708,0.0450,2.13945517243,0.0503,38.7868,0.0596,78.779,0.085,-645.433,0.086,0,7.49854e+06,3.48539e+03,8.500924,3.25150e+06,6.69421e+03,9.071179,5.95070e+06,1.00522e+04,7.825500,1.245679,-34.15,0.44,4897.85,0.0320,0.0080,0.66,0.223,88.6190719,2.1422342,HD 39715,27918,1.02,0.362,Act,1.57,,0.0,,,K,S,HD 39715,88.61907,2.14223
0.009173,88.6492727933000,5.3536894867400,0.002,0.001,90,3320196400563017856,88.64922799725,0.0576,5.35364941807,0.0598,3.1461,0.0843,-10.359,0.108,-9.306,0.095,0,1.18041e+07,5.18693e+03,8.008281,5.48939e+06,8.11189e+03,8.502579,8.64957e+06,5.95951e+04,7.419433,1.083146,32.94,0.19,5049.06,,,9.38,51.476,88.6492753,5.35369,HD 39731,27932,0.873,0.155,Act,4.304,-5.083,3.5,,8.15,K,S,HD 39731,88.64928,5.35369
0.005390,88.1872145016000,-42.7752907098000,0.001,0.001,90,4803564030270831360,88.18664891856,0.0293,-42.77564992749,0.0312,14.0072,0.0310,-96.422,0.064,-83.431,0.062,0,1.37693e+07,4.64764e+03,7.841084,6.88687e+06,1.09788e+04,8.256334,9.54877e+06,1.83266e+04,7.312052,0.944283,62.95,0.14,5487.00,,,1.86,2.838,88.1872147,-42.7752922,HD 39796,27782,0.74,0.167,Act,4.313,-4.985,1.57,37,6.32,K,S,HD 39796,88.18721,-42.77529
0.011725,88.9126622703000,13.0018865883000,0.001,0.001,90,3343712755261231616,88.91279730654,0.0424,13.00185325964,0.0391,6.9952,0.0480,30.559,0.081,-7.741,0.071,0,2.02725e+07,5.63195e+03,7.421099,9.17947e+06,1.75599e+04,7.944345,1.53461e+07,5.60852e+04,6.796923,1.147421,28.83,0.18,4933.08,,,5.86,18.341,88.9126636,13.0018836,HD 39828,28029,1.006,0.132,Act,4.248,,4.6,,,K,S,HD 39828,88.91266,13.00188
0.003689,88.7581581993000,-0.5079704198880,0.001,0.001,90,3218445979621236992,88.75770932589,0.0410,-0.50818911289,0.0480,25.0046,0.0544,-104.250,0.085,-50.793,0.084,0,1.92615e+07,6.10089e+03,7.476640,1.02343e+07,3.14146e+04,7.826246,1.25147e+07,6.81935e+04,7.018370,0.807876,24.60,0.16,5817.67,0.1595,0.0783,1.08,1.214,88.7581583,-0.5079694,HD 39833,27980,0.59,0.205,Act,3.572,-4.746,0.09,13,2.5,K,S,HD 39833,88.75816,-0.50797
