angDist,_RAJ2000,_DEJ2000,HD,RAJ2000,DEJ2000,Smin,Smax,SMW,logRmin,logRmax,logRMW,Age,e_Age,Teff,[Fe/H],GCS,Simbad,Ref,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.819111,16.1675,-39.488056,6434,01 04 40.2,-39 29 17,0.144,0.175,,-5.047,-4.854,,9.55,2.95,5824,-0.51,GCS,Simbad,19f,16.1672932345000,-39.4882181940000,0.002,0.001,90,4988158666635743616,16.16634411791,0.0629,-39.49049090944,0.0342,23.5794,0.0417,-170.124,0.106,-527.851,0.078,1,1.78232e+07,3.66587e+03,7.560900,9.63309e+06,7.34640e+03,7.891974,1.15742e+07,1.25614e+04,7.103193,0.788781,22.92,0.14,5768.00,0.1290,0.0735,1.13,1.267
0.732905,17.241667,-30.929167,6880,01 08 58.0,-30 55 45,0.234,0.234,,-4.769,-4.769,,7.02,4.72,5329,-0.09,GCS,Simbad,1,17.2414661802000,-30.9292754984000,0.001,0.001,0,5028165118766489088,17.24253520885,0.0235,-30.92971862817,0.0196,20.6566,0.0360,212.984,0.043,-102.919,0.047,1,5.21572e+06,1.03432e+03,8.895081,2.61164e+06,1.77155e+03,9.309103,3.66071e+06,2.85324e+03,8.353006,0.956097,3.90,0.24,5352.60,0.0660,0.0320,0.82,0.502
0.604315,17.26,-42.401667,6910,01 09 02.4,-42 24 06,0.126,0.126,,-5.281,-5.281,,2.24,0.71,6244,0.51,GCS,Simbad,1,17.2601033498000,-42.4018165142000,0.001,0.000,0,4984646963936036992,17.26028864362,0.0154,-42.40181944692,0.0186,11.0163,0.0292,31.779,0.031,-0.681,0.035,1,1.54488e+07,1.92439e+03,7.716132,8.34078e+06,4.55627e+03,8.048371,9.95780e+06,7.31148e+03,7.266512,0.781859,-2.21,0.14,5873.67,,,2.16,5.000
0.305756,17.88375,-12.843056,7134,01 11 32.1,-12 50 35,0.151,0.151,,-5.005,-5.005,,5.76,2.52,5966,-0.25,GCS,Simbad,1,17.8836673961000,-12.8430829674000,0.001,0.001,90,2468607533700284800,17.88353401089,0.0369,-12.84337751241,0.0360,23.9293,0.0436,-30.205,0.085,-68.410,0.077,0,2.21242e+07,3.30353e+03,7.326195,1.20961e+07,1.03401e+04,7.644775,1.41059e+07,1.19763e+04,6.888414,0.756361,-16.64,0.15,5974.78,0.0543,0.0260,1.15,1.511
0.700036,18.622083,-5.047222,7449,01 14 29.3,-05 02 50,0.168,0.19,,-4.905,-4.79,,3.48,2.59,6031,-0.21,GCS,Simbad,17,18.6221759319000,-5.0473930059700,0.001,0.001,90,2482820714353923072,18.62146499115,0.0387,-5.04797156401,0.0260,25.8363,0.0431,-164.483,0.087,-134.376,0.050,0,2.16452e+07,5.65267e+03,7.349961,1.18857e+07,1.40746e+04,7.663829,1.36506e+07,2.67144e+04,6.924040,0.739789,-19.85,0.16,6031.00,0.0463,0.0300,1.03,1.265
0.218532,19.100833,-12.096944,7661,01 16 24.2,-12 05 49,0.378,0.577,,-4.459,-4.241,,6.7,4.55,5429,-0.03,GCS,Simbad,17aafgijj,19.1008130532000,-12.0970014847000,0.001,0.001,90,2468730472844294016,19.10140232300,0.0312,-12.09702236125,0.0289,39.1027,0.0419,133.823,0.078,-4.849,0.063,0,2.16313e+07,7.94012e+03,7.350660,1.08141e+07,1.80441e+04,7.766413,1.49886e+07,4.69919e+04,6.822517,0.943896,8.21,0.13,5433.50,0.0945,0.0447,0.86,0.575
0.373787,19.889167,-39.3625,8076,01 19 33.4,-39 21 45,0.213,0.231,,-4.697,-4.639,,2.79,2.15,5921,-0.05,GCS,Simbad,179,19.8891381608000,-39.3626014075000,0.001,0.001,0,4985404248272413440,19.88911263907,0.0225,-39.36238378504,0.0197,25.5162,0.0343,-4.583,0.035,50.545,0.036,0,1.89384e+07,2.49389e+03,7.495010,1.02237e+07,7.54199e+03,7.827364,1.22042e+07,1.24456e+04,7.045643,0.781721,2.50,0.13,5875.33,0.0857,0.0490,1.03,1.142
0.863979,19.889167,-39.3625,8076,01 19 33.4,-39 21 45,0.213,0.231,,-4.697,-4.639,,2.79,2.15,5921,-0.05,GCS,Simbad,179,19.8893776167000,-39.3623237021000,0.023,0.014,90,4985404252569361792,19.88937761669,23.3823,-39.36232370209,14.1317,,,,,,,0,8.08845e+03,7.73512e+02,15.918703,,,,,,,,,,,,,,
0.241088,20.531667,-26.893056,8326,01 22 07.6,-26 53 35,0.302,0.34,,-4.886,-4.82,,6.84,4.74,4922,0.08,GCS,Simbad,17,20.5317241067000,-26.8930994845000,0.002,0.001,90,5036553052456200320,20.53144183047,0.0427,-26.89406775854,0.0299,32.5591,0.0466,-58.470,0.120,-224.887,0.064,0,7.68065e+06,2.58526e+03,8.474871,3.46482e+06,3.97001e+03,9.002186,5.89835e+06,8.08571e+03,7.835094,1.167092,20.86,0.16,4914.00,0.1970,0.1025,0.78,0.322
0.943188,20.75375,-16.487222,8406,01 23 00.9,-16 29 14,0.162,0.195,,-4.924,-4.77,,3.67,2.99,5805,-0.2,GCS,Simbad,17,20.7536394994000,-16.4874616150000,0.003,0.002,90,2451580320537911680,20.75302181632,0.0695,-16.48821891930,0.0463,26.5085,0.0666,-137.563,0.192,-175.890,0.110,1,1.48501e+07,2.61926e+03,7.759046,7.87669e+06,5.12878e+03,8.110530,9.81812e+06,6.46752e+03,7.281850,0.828680,-7.58,0.13,5730.00,0.0552,0.0260,0.93,0.837
