angDist,_RAJ2000,_DEJ2000,SimbadName,B-V,VMAG,GSVal,log(R'HK),l_log(Age),log(Age),Svalues,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.013602,2.465201,8.453169,HIP 795,,,0.462,,,,Svalues,2.4652,8.4532,2.4652040449700,8.4531667187500,0.002,0.001,90,2752042939643758080,2.46545184607,0.0426,8.45311701250,0.0351,14.2068,0.0430,56.929,0.097,-11.545,0.070,0,3.90452e+06,2.03545e+03,9.209448,2.02094e+06,2.58842e+03,9.587507,2.65003e+06,3.54669e+03,8.703795,0.883713,14.58,0.45,5586.23,0.0500,0.0230,0.94,0.775
0.013602,2.465201,8.453169,HIP 795,,,0.435,,,,Svalues,2.4652,8.4532,2.4652040449700,8.4531667187500,0.002,0.001,90,2752042939643758080,2.46545184607,0.0426,8.45311701250,0.0351,14.2068,0.0430,56.929,0.097,-11.545,0.070,0,3.90452e+06,2.03545e+03,9.209448,2.02094e+06,2.58842e+03,9.587507,2.65003e+06,3.54669e+03,8.703795,0.883713,14.58,0.45,5586.23,0.0500,0.0230,0.94,0.775
0.010113,2.843492,30.449575,HIP 919,0.755,5.29,0.446,-4.38,,8.45,Svalues,2.8435,30.4496,2.8434890545900,30.4495762017000,0.001,0.001,90,2861502032312723328,2.84453606527,0.0429,30.44972949794,0.0442,29.1743,0.0601,209.637,0.074,35.603,0.068,1,1.51122e+07,7.48570e+03,7.740048,7.62936e+06,1.43146e+04,8.145168,1.04803e+07,2.55263e+04,7.210983,0.934185,-3.07,0.17,5587.75,0.1310,0.0645,0.90,0.711
0.036568,3.542726,-7.199124,HIP 1134,0.521,4.0,0.307,-4.42,,8.69,Svalues,3.5427,-7.1991,3.5427211346000,-7.1991150625100,0.002,0.001,90,2431157720981843200,3.54317480916,0.0508,-7.19940745620,0.0286,21.7806,0.0564,104.539,0.152,-67.911,0.062,0,2.50615e+07,1.12956e+04,7.190848,1.41516e+07,2.71976e+04,7.474374,1.53115e+07,3.00446e+04,6.799377,0.674997,0.55,0.50,6234.33,0.1775,0.0830,1.23,2.050
0.011299,4.276561,40.948295,HIP 1368,1.37,8.11,1.979,,,,Svalues,4.2766,40.9483,4.2765577931900,40.9482969961000,0.001,0.000,90,383426372059603712,4.27979203779,0.0365,40.94865683188,0.0215,68.0351,0.0566,567.365,0.069,83.564,0.031,0,8.45861e+06,4.32958e+03,8.370118,2.81594e+06,2.96616e+03,9.227330,8.10225e+06,6.14156e+03,7.490406,1.736925,2.30,0.15,4098.00,,,0.67,0.113
0.029562,4.495296,-13.45564,HIP 1444,0.599,4.42,0.155,-5.0,,9.75,Svalues,4.4953,-13.4556,4.4952876645100,-13.4556413084000,0.002,0.001,90,2423292879948720000,4.49706390709,0.0494,-13.45564186822,0.0318,37.1144,0.0519,401.216,0.128,-0.129,0.051,0,5.42443e+07,1.21701e+04,6.352480,2.94121e+07,3.35022e+04,6.680073,3.47194e+07,4.18342e+04,5.910489,0.769585,29.10,0.16,5948.75,0.1475,0.0620,1.17,1.541
0.009618,4.595356,44.022953,HIP 1475,1.56,10.33,0.606,,,,Svalues,4.5954,44.023,4.5953531415000,44.0229547068000,0.001,0.001,90,385334230892516480,4.61266773699,0.0339,44.02472957785,0.0233,280.6902,0.0429,2891.525,0.061,411.903,0.034,0,2.44832e+07,1.14262e+04,7.216197,6.28691e+06,5.69838e+03,8.355295,2.70328e+07,2.88659e+04,6.182193,2.173102,11.51,0.14,3988.00,0.2487,0.1310,,
0.388176,4.607458,44.027278,GJ 15B,1.8,,1.191,,,,Svalues,4.6075,44.0273,4.6076018685100,44.0272475665000,0.001,0.001,90,385334196532776576,4.62474771941,0.0386,44.02869779094,0.0262,280.7866,0.0519,2863.284,0.069,336.529,0.039,0,2.53746e+06,1.76051e+03,9.677366,4.11894e+05,7.01044e+02,11.314424,3.27983e+06,2.46326e+03,8.472292,2.842132,,,3636.07,0.3075,0.1880,,
0.006169,4.674449,-8.053001,HIP 1499,0.674,4.62,0.156,-5.03,,9.8,Svalues,4.6744,-8.053,4.6744473809100,-8.0530016050400,0.002,0.001,90,2430102808294101760,4.67626447120,0.0473,-8.05362060781,0.0273,42.6090,0.0557,417.875,0.098,-143.768,0.054,0,5.74473e+07,1.42701e+04,6.290191,3.01990e+07,4.80731e+04,6.651405,3.78098e+07,6.44841e+04,5.817908,0.833497,-10.16,0.18,5764.50,0.2218,0.0885,1.12,1.251
0.051900,5.483516,-31.406073,HIP 1734,1.485,9.86,1.801,,,,Svalues,5.4835,-31.4061,5.4835198442100,-31.4060589617000,0.001,0.001,90,2316867885320845696,5.48383918318,0.0339,-31.40689376182,0.0266,55.3900,0.0379,63.303,0.073,-193.889,0.058,0,1.60148e+06,1.14574e+03,10.177060,3.81595e+05,5.33167e+02,11.397382,1.80845e+06,1.45623e+03,9.118653,2.278729,16.55,0.34,3800.02,0.5810,0.3317,,
