angDist,_RAJ2000,_DEJ2000,Name,SpType,plx,logg,l_[Fe/H],[Fe/H],l_Prot,Prot,<S>,<FHK>,<FHa>,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
1.308556,30.9802119,-45.4129039,HD  12759,G3V,20.34,,,,,,0.42,208.25,35.53,Simbad,30.98021,-45.4129,30.9797981402000,-45.4131224380000,0.022,0.013,0,4943931979639374976,30.98171396742,0.3356,-45.41288444218,0.5280,19.8907,0.4376,312.362,0.815,55.280,1.442,1,1.02730e+06,8.57818e+03,10.659125,7.83127e+05,6.86877e+04,10.616808,,,,,,,,,,,
0.158136,32.6080592,-50.8237244,HD  13445,K0V,91.63,4.75,,-0.21,,30.0,0.26,69.8,26.86,Simbad,32.60806,-50.82372,32.6079948974000,-50.8237411194000,0.001,0.001,90,4937000898855759104,32.62247850871,0.0379,-50.82099445436,0.0331,92.7042,0.0454,2124.853,0.075,638.092,0.063,1,8.42879e+07,4.02963e+04,5.873952,4.03392e+07,8.91929e+04,6.337070,5.98988e+07,1.81053e+05,5.318375,1.018695,55.23,0.18,5263.50,0.1330,0.0635,0.77,0.408
0.014218,40.0517581,-9.452875,HD  16673,F6V,46.42,4.16,,-0.01,,7.0,0.22,225.85,38.1,Simbad,40.05176,-9.45287,40.0517588593000,-9.4528711221300,0.006,0.006,90,5173902189571919872,40.05115667284,0.2298,-9.45321100644,0.1857,45.6099,0.2451,-137.964,0.416,-78.941,0.359,0,1.03772e+08,1.41815e+05,5.648168,5.75701e+07,4.65365e+05,5.950895,6.31826e+07,2.75151e+05,5.260427,0.690469,-8.50,3.39,6237.00,0.0920,0.0452,1.19,1.936
0.001856,40.6394439,-50.8002939,HD  17051,G3IV,58.0,4.22,,-0.04,,7.9,0.23,193.1,37.36,Simbad,40.63944,-50.80029,40.6394436475000,-50.8002934097000,0.001,0.001,0,4745373133284418816,40.64171780844,0.0455,-50.79934839914,0.0436,57.7143,0.0537,333.826,0.083,219.488,0.086,0,1.53346e+08,2.32016e+05,5.224186,8.23942e+07,1.51218e+05,5.561647,9.30463e+07,2.09903e+05,4.840173,0.721474,17.01,0.15,6126.50,0.1570,0.0660,1.19,1.791
0.023607,42.0330475,-36.9815897,HD  17576,G0V,6.13,,,,,,0.84,614.0,54.48,Simbad,42.03305,-36.98159,42.0330421039000,-36.9815847585000,0.001,0.001,90,5048963240199294720,42.03315590629,0.0262,-36.98144691108,0.0252,7.0143,0.0310,21.114,0.059,32.016,0.057,0,1.50986e+07,1.73624e+04,7.741023,8.07074e+06,3.78155e+04,8.084106,1.01801e+07,3.65537e+04,7.242542,0.841563,,,5781.00,,,3.47,12.117
2.115534,42.0330475,-36.9815897,HD  17576,G0V,6.13,,,,,,0.84,614.0,54.48,Simbad,42.03305,-36.98159,42.0331810538000,-36.9821675830000,0.001,0.001,90,5048963240199294848,42.03330060736,0.0300,-36.98203629122,0.0280,6.8025,0.0392,22.181,0.060,30.494,0.054,1,1.11589e+06,1.89498e+03,10.569311,7.31570e+05,2.58327e+04,10.690748,8.15285e+05,6.91897e+04,9.983646,0.707102,,,5956.25,,,0.91,0.944
0.006987,43.1338694,-12.7697144,HD  17925,K1V,96.33,4.6,,0.1,,6.76,0.65,140.0,31.17,Simbad,43.13387,-12.76971,43.1338674390000,-12.7697140693000,0.001,0.001,90,5160075762132996992,43.13562162144,0.0389,-12.77052831794,0.0345,96.5400,0.0435,397.346,0.076,-189.114,0.075,0,9.04773e+07,1.15212e+05,5.797017,4.25928e+07,1.96669e+05,6.278048,6.38738e+07,4.49774e+05,5.248612,1.029436,17.91,0.14,5178.00,0.1075,0.0587,0.79,0.409
0.008602,45.9123292,-5.6662997,HD  19034,G5,28.33,,,,,,0.18,93.7,30.7,Simbad,45.91233,-5.6663,45.9123283587000,-5.6662974619400,0.002,0.002,0,5181087291900789888,45.91377124197,0.0472,-5.66743287948,0.0587,26.5745,0.0731,333.487,0.104,-263.712,0.123,0,1.31014e+07,4.60423e+03,7.895071,6.77719e+06,1.74867e+04,8.273764,8.84933e+06,2.23301e+04,7.394644,0.879119,-20.55,0.20,5580.30,0.0620,0.0250,0.92,0.743
0.001615,46.8273964,-13.7617833,HD  19467,G3V,31.76,,,,,,0.15,88.15,30.57,Simbad,46.8274,-13.76178,46.8273959830000,-13.7617831071000,0.001,0.001,0,5155981730587168384,46.82735748598,0.0353,-13.76290499129,0.0368,31.2255,0.0410,-8.685,0.070,-260.566,0.077,0,3.59749e+07,1.37077e+04,6.798367,1.88662e+07,4.82355e+04,7.162175,2.35019e+07,1.14089e+05,6.334162,0.828013,6.46,0.25,5718.00,0.2620,0.1510,1.23,1.463
0.015140,48.1934856,-1.1961011,HD  19994,F8V,44.69,4.1,,0.15,,8.59,0.17,138.25,33.27,Simbad,48.19349,-1.1961,48.1934871153000,-1.1960971767400,0.005,0.005,90,3265335443260522112,48.19431934496,0.1684,-1.19639552259,0.1472,44.3695,0.2030,193.250,0.324,-69.293,0.311,1,2.09590e+08,6.77509e+05,4.884942,1.11549e+08,3.48686e+05,5.232720,1.23742e+08,7.77831e+05,4.530629,0.702091,19.62,0.15,6071.00,1.0000,0.5010,1.84,4.149
2.434443,48.1934856,-1.1961011,HD  19994,F8V,44.69,4.1,,0.15,,8.59,0.17,138.25,33.27,Simbad,48.19349,-1.1961,48.1931899711000,-1.1967093221500,0.021,0.015,90,3265335443259949568,48.19413468089,0.6780,-1.19698778142,0.4545,38.9993,0.5899,219.369,1.375,-64.674,0.959,0,2.67223e+06,3.16959e+04,9.621183,,,,,,,,,,,,,,
0.019818,49.7578883,-2.8431947,HD  20619,G0,40.52,4.48,,-0.2,,,0.18,105.4,29.49,Simbad,49.75789,-2.84319,49.7578933394000,-2.8431924701800,0.001,0.001,90,3261878613062758144,49.75898690197,0.0382,-2.84362628383,0.0349,41.6663,0.0461,253.676,0.077,-100.757,0.075,0,3.36069e+07,1.23416e+04,6.872294,1.76605e+07,3.91730e+04,7.233883,2.20154e+07,7.89246e+04,6.405103,0.828780,22.71,0.20,5715.67,0.0405,0.0165,0.89,0.768
0.004993,49.4423481,-62.5753219,HD  20766,G2V,82.51,4.54,,-0.22,<,12.1,0.25,157.45,33.1,Simbad,49.44235,-62.57532,49.4423469190000,-62.5753206243000,0.002,0.002,0,4722111590409480064,49.45485101598,0.0705,-62.57252282842,0.0752,83.0625,0.0739,1337.591,0.142,649.930,0.154,0,1.42281e+08,2.56016e+05,5.305501,7.29118e+07,1.21004e+05,5.694394,9.08140e+07,2.89325e+05,4.866539,0.827856,12.21,0.17,5823.33,0.0310,0.0145,0.89,0.812
